cohort,group,assemblies,valid_size_n,valid_density_n,median_size_mb,median_genes_per_mb
all,archaea,832,832,832,3.1780125000000004,1024.3963965250573
all,bacteria,22736,22736,22736,4.1634005,934.2461717361294
all,fungi,668,668,668,32.830289,350.5083025356839
all,invertebrate,512,512,512,386.70207400000004,45.66470276190989
all,plant,211,211,211,639.5867,63.50592276527795
all,protozoa,115,115,115,31.216622,280.66348039728905
all,vertebrate_mammalian,269,269,269,2576.497192,12.45449616228855
all,vertebrate_other,622,622,622,1143.8983090000002,20.649017805732313
complete,archaea,432,432,432,2.8038559999999997,1035.1802072175578
complete,bacteria,6745,6745,6745,3.884382,934.2356125444715
complete,fungi,69,69,69,23.02602,364.3121962062895
complete,invertebrate,3,3,3,327.376598,45.378930842210046
complete,plant,9,9,9,393.332932,84.14245873518671
complete,protozoa,4,4,4,23.167868,278.11627770778887
complete,vertebrate_mammalian,3,3,3,3060.038958,14.327214514436806
complete,vertebrate_other,3,3,3,1261.969826,36.96300785229408
